File,StartLine,EndLine,ConfigExpr,ConfigList,ConfigValues,Effective
linux-6.18-rc3/arch/riscv/kvm/aia.c,348,350,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia.c,543,547,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/trace.h,8,58,!defined(_TRACE_KVM_H) || defined(TRACE_HEADER_MULTI_READ),,,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_sbi_pmu.c,38,39,defined(CONFIG_32BIT),CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_sbi_pmu.c,40,41,!(defined(CONFIG_32BIT)),CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_sbi_pmu.c,53,54,defined(CONFIG_32BIT),CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_sbi_pmu.c,55,56,!(defined(CONFIG_32BIT)),CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/lib/strcmp.S,47,121,defined(CONFIG_RISCV_ISA_ZBB) && defined(CONFIG_TOOLCHAIN_HAS_ZBB),CONFIG_TOOLCHAIN_HAS_ZBB CONFIG_RISCV_ISA_ZBB,CONFIG_TOOLCHAIN_HAS_ZBB=y CONFIG_RISCV_ISA_ZBB=y,False
linux-6.18-rc3/arch/riscv/lib/strlen.S,37,131,defined(CONFIG_RISCV_ISA_ZBB) && defined(CONFIG_TOOLCHAIN_HAS_ZBB),CONFIG_TOOLCHAIN_HAS_ZBB CONFIG_RISCV_ISA_ZBB,CONFIG_TOOLCHAIN_HAS_ZBB=y CONFIG_RISCV_ISA_ZBB=y,False
linux-6.18-rc3/arch/riscv/lib/csum.c,19,74,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/lib/csum.c,79,80,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/lib/csum.c,106,107,__LITTLE_ENDIAN,,,False
linux-6.18-rc3/arch/riscv/lib/csum.c,108,109,!(__LITTLE_ENDIAN),,,False
linux-6.18-rc3/arch/riscv/lib/csum.c,146,147,__LITTLE_ENDIAN,,,False
linux-6.18-rc3/arch/riscv/lib/csum.c,148,149,!(__LITTLE_ENDIAN),,,False
linux-6.18-rc3/arch/riscv/lib/csum.c,154,207,CC_HAS_ASM_GOTO_TIED_OUTPUT,,,False
linux-6.18-rc3/arch/riscv/lib/csum.c,209,211,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/lib/csum.c,252,261,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/lib/csum.c,262,273,!(CONFIG_32BIT),CONFIG_32BIT,CONFIG_32BIT=unset,True
linux-6.18-rc3/arch/riscv/lib/csum.c,278,280,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/lib/memset.S,40,42,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/lib/memset.S,60,61,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/lib/delay.c,49,50,HZ > MAX_UDELAY_HZ,,,False
linux-6.18-rc3/arch/riscv/lib/delay.c,72,73,HZ > MAX_NDELAY_HZ,,,False
linux-6.18-rc3/arch/riscv/lib/riscv_v_helpers.c,12,13,CONFIG_MMU,CONFIG_MMU,CONFIG_MMU=y,True
linux-6.18-rc3/arch/riscv/lib/riscv_v_helpers.c,16,49,CONFIG_MMU,CONFIG_MMU,CONFIG_MMU=y,True
linux-6.18-rc3/arch/riscv/lib/strncmp.S,50,137,defined(CONFIG_RISCV_ISA_ZBB) && defined(CONFIG_TOOLCHAIN_HAS_ZBB),CONFIG_TOOLCHAIN_HAS_ZBB CONFIG_RISCV_ISA_ZBB,CONFIG_TOOLCHAIN_HAS_ZBB=y CONFIG_RISCV_ISA_ZBB=y,False
linux-6.18-rc3/arch/riscv/lib/uaccess.S,16,21,CONFIG_RISCV_ISA_V,CONFIG_RISCV_ISA_V,CONFIG_RISCV_ISA_V=y,True
